card_number,tier,rank,name,alignment,element,faction,hp,atk,rapid,charge,defense,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,flavor_text,construct_sprite,source_identities,color_palette
DELTA-912,DELTA,5,OmniVire,Viral,Plasma,PHAGE CELL,3245,307,55,45,250,Star Catalyst,Ion Restore,Star Overdrive,Star Bind,Flux Boost,Solar Onslaught,Flux Rush,Nebula Charge,Star Suppress,Strain OmniVire breaches containment. Plasma-mutation sequence active. Quarantine failed.,DELTA-912_OmniVire_idle.png,ID.5730|ID.1909|ID.8651,"[140, 245, 168]"
DELTA-913,DELTA,5,Draan,Viral,Dark,INFECTION VECTOR,3459,363,41,48,218,Umbra Suppress,Eclipse Barrage,Night Apotheosis,Night Strike,Void Suppress,Night Cataclysm,Night Onslaught,Umbra Empower,Abyss Restore,Strain Draan breaches containment. Dark-mutation sequence active. Quarantine failed.,DELTA-913_Draan_idle.png,ID.2840|ID.2363|ID.9397,"[0, 179, 53]"
DELTA-914,DELTA,5,Nyxthos,Demonic,Nature,ABYSSAL CABAL,3340,310,50,41,188,Vine Cleanse,Vine Lock,Root Zenith,Thorn Charge,Thorn Ward,Bloom Charge,Vine Suppress,Thorn Catalyst,Bloom Onslaught,Nyxthos claws forth from the VOID CULT. Nature burns in its wake.,DELTA-914_Nyxthos_idle.png,ID.9707|ID.7237|ID.9478,"[170, 166, 166]"
DELTA-915,DELTA,5,Morur,Angelic,Fire,LUMINA SECT,3875,261,42,54,340,Inferno Bind,Combust Strike,Scorch Strike,Inferno Catalyst,Ember Empower,Ember Barrage,Ember Empower,Scorch Drain,Blaze Catalyst,Morur descends from the LUMINA SECT. Fire radiance shields the faithful.,DELTA-915_Morur_idle.png,ID.5440|ID.2249|ID.6446,"[59, 6, 33]"
DELTA-916,DELTA,5,Ryxen,Angelic,Wind,CELESTIAL ORDER,3954,271,54,47,239,Zephyr Charge,Zephyr Drain,Gale Strike,Cyclone Suppress,Cyclone Strike,Squall Catalyst,Draft Apotheosis,Draft Empower,Zephyr Ward,Ryxen descends from the CELESTIAL ORDER. Wind radiance shields the faithful.,DELTA-916_Ryxen_idle.png,ID.6518|ID.5557|ID.9411,"[200, 55, 78]"
DELTA-917,DELTA,5,Xis Sentinel,Angelic,Lightning,ASTRUM DIVISION,3389,261,40,55,227,Static Cleanse,Volt Onslaught,Arc Slam,Thunder Bind,Surge Bind,Thunder Rush,Volt Terminus,Static Zenith,Volt Shield,Xis Sentinel descends from the LUMINA SECT. Lightning radiance shields the faithful.,DELTA-917_Xis_Sentinel_idle.png,ID.8674|ID.5011|ID.9041,"[178, 178, 99]"
DELTA-918,DELTA,5,Sol Strain,Viral,Earth,INFECTION VECTOR,4114,276,50,54,302,Terra Cleanse,Fissure Cleanse,Core Cataclysm,Fissure Stun,Core Slam,Terra Stun,Mountain Onslaught,Core Apotheosis,Core Barrage,Strain Sol Strain breaches containment. Earth-mutation sequence active. Quarantine failed.,DELTA-918_Sol_Strain_idle.png,ID.5465|ID.6879|ID.6191,"[17, 38, 75]"
DELTA-919,DELTA,5,Qorxel,Angelic,Earth,HALO CORE,3274,280,49,45,257,Quake Onslaught,Fissure Silence,Terra Bind,Core Onslaught,Fissure Catalyst,Mountain Empower,Mountain Cleanse,Stone Zenith,Quake Barrage,Qorxel descends from the CELESTIAL ORDER. Earth radiance shields the faithful.,DELTA-919_Qorxel_idle.png,ID.4096|ID.3622|ID.1876,"[251, 155, 134]"
DELTA-920,DELTA,5,Kale Reaver,Demonic,Dark,ABYSSAL CABAL,3995,264,44,43,198,Umbra Apotheosis,Night Shield,Void Cataclysm,Umbra Bind,Umbra Onslaught,Shadow Bind,Void Shield,Night Strike,Umbra Rush,Kale Reaver claws forth from the BRIMSTONE CELL. Dark burns in its wake.,DELTA-920_Kale_Reaver_idle.png,ID.6194|ID.2410|ID.7853,"[200, 113, 191]"
DELTA-921,DELTA,5,Lor Guardian,Angelic,Crystal,HALO CORE,3904,298,44,47,242,Geode Charge,Gem Stun,Gem Slam,Gem Terminus,Gem Cataclysm,Lattice Shield,Shard Strike,Prism Restore,Geode Lock,Lor Guardian descends from the HALO CORE. Crystal radiance shields the faithful.,DELTA-921_Lor_Guardian_idle.png,ID.2147|ID.8508|ID.4089,"[25, 72, 220]"
DELTA-922,DELTA,5,Vion Vector,Viral,Lightning,ROT CLUSTER,3944,295,43,53,250,Surge Catalyst,Spark Terminus,Static Empower,Surge Slam,Thunder Strike,Volt Suppress,Static Restore,Surge Bind,Thunder Charge,Strain Vion Vector breaches containment. Lightning-mutation sequence active. Quarantine failed.,DELTA-922_Vion_Vector_idle.png,ID.3960|ID.8518|ID.8017,"[225, 15, 154]"
DELTA-923,DELTA,5,Brylor,Angelic,Lightning,CELESTIAL ORDER,3736,349,45,53,333,Spark Slam,Thunder Onslaught,Volt Silence,Thunder Drain,Surge Apotheosis,Spark Ward,Surge Cataclysm,Static Rush,Volt Ward,Brylor descends from the LUMINA SECT. Lightning radiance shields the faithful.,DELTA-923_Brylor_idle.png,ID.8388|ID.3589|ID.8713,"[95, 252, 219]"
DELTA-924,DELTA,5,Pyrax,Mechanical,Water,PROTOCOL DIVISION,4006,321,53,52,312,Depth Catalyst,Tide Bind,Current Shield,Surge Ward,Current Barrage,Abyss Overdrive,Surge Barrage,Depth Slam,Surge Suppress,Unit Pyrax deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Water.,DELTA-924_Pyrax_idle.png,ID.4858|ID.9115|ID.5003,"[247, 41, 242]"
DELTA-925,DELTA,5,Vexun,Angelic,Void,CELESTIAL ORDER,3186,362,54,45,296,Null Slam,Abyss Rush,Null Ward,Abyss Catalyst,Abyss Suppress,Collapse Ward,Zero Suppress,Entropy Barrage,Abyss Terminus,Vexun descends from the ASTRUM DIVISION. Void radiance shields the faithful.,DELTA-925_Vexun_idle.png,ID.1823|ID.5235|ID.2462,"[28, 175, 0]"
DELTA-926,DELTA,5,PrismaticXis,Angelic,Time,HALO CORE,3295,353,45,49,270,Era Silence,Loop Cataclysm,Shift Empower,Chrono Onslaught,Paradox Cataclysm,Epoch Bind,Loop Slam,Shift Restore,Chrono Rush,PrismaticXis descends from the CELESTIAL ORDER. Time radiance shields the faithful.,DELTA-926_PrismaticXis_idle.png,ID.7495|ID.8669|ID.5155,"[142, 74, 151]"
DELTA-927,DELTA,5,Kaelvion,Demonic,Plasma,ABYSSAL CABAL,2841,293,40,52,293,Fusion Overdrive,Solar Charge,Star Charge,Nebula Ward,Star Suppress,Fusion Catalyst,Nebula Rush,Fusion Drain,Star Boost,Kaelvion claws forth from the BRIMSTONE CELL. Plasma burns in its wake.,DELTA-927_Kaelvion_idle.png,ID.4772|ID.5612|ID.5677,"[191, 108, 134]"
DELTA-928,DELTA,5,CelestialKale,Demonic,Dark,VOID CULT,3125,323,44,52,206,Abyss Bind,Abyss Slam,Shadow Zenith,Umbra Drain,Void Charge,Night Restore,Night Onslaught,Void Boost,Abyss Overdrive,CelestialKale claws forth from the BRIMSTONE CELL. Dark burns in its wake.,DELTA-928_CelestialKale_idle.png,ID.7667|ID.7006|ID.5989,"[246, 220, 224]"
DELTA-929,DELTA,5,Lunkale,Mechanical,Void,IRON CORTEX,3206,268,48,42,230,Zero Suppress,Abyss Suppress,Erase Rush,Erase Cleanse,Zero Apotheosis,Collapse Strike,Abyss Terminus,Erase Charge,Abyss Boost,Unit Lunkale deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Void.,DELTA-929_Lunkale_idle.png,ID.9830|ID.4686|ID.9047,"[134, 188, 247]"
DELTA-930,DELTA,5,Fenos,Demonic,Light,PANDEMONIUM NET,3620,378,54,42,289,Prism Onslaught,Lumen Ward,Radiance Slam,Prism Onslaught,Lumen Zenith,Lumen Cleanse,Dawn Suppress,Lumen Overdrive,Prism Silence,Fenos claws forth from the PANDEMONIUM NET. Light burns in its wake.,DELTA-930_Fenos_idle.png,ID.6846|ID.5972|ID.8362,"[14, 181, 159]"
DELTA-931,DELTA,5,Gorvax,Viral,Time,INFECTION VECTOR,3459,264,53,52,210,Paradox Empower,Chrono Zenith,Chrono Suppress,Era Ward,Paradox Strike,Shift Apotheosis,Loop Onslaught,Epoch Bind,Era Barrage,Strain Gorvax breaches containment. Time-mutation sequence active. Quarantine failed.,DELTA-931_Gorvax_idle.png,ID.5558|ID.2675|ID.6386,"[24, 194, 23]"
DELTA-932,DELTA,5,QuantumVire,Angelic,Nature,LUMINA SECT,4037,252,55,50,250,Spore Overdrive,Thorn Restore,Spore Cleanse,Canopy Slam,Root Silence,Thorn Terminus,Thorn Barrage,Canopy Lock,Root Strike,QuantumVire descends from the CELESTIAL ORDER. Nature radiance shields the faithful.,DELTA-932_QuantumVire_idle.png,ID.9462|ID.4266|ID.8264,"[87, 83, 251]"
DELTA-933,DELTA,5,Lis Frame,Mechanical,Gravity,PROTOCOL DIVISION,3695,306,55,58,306,Pull Shield,Weight Slam,Crush Cleanse,Pull Barrage,Crush Zenith,Pull Terminus,Crush Drain,Anchor Stun,Pull Rush,Unit Lis Frame deployed from IRON CORTEX. Core temperature stable. Elemental sync: Gravity.,DELTA-933_Lis_Frame_idle.png,ID.5329|ID.5861|ID.4694,"[175, 173, 1]"
DELTA-934,DELTA,5,Mir Mutant,Viral,Blood,ROT CLUSTER,3279,355,42,46,219,Vital Zenith,Sanguine Overdrive,Sanguine Cleanse,Sanguine Ward,Vital Drain,Crimson Rush,Vein Charge,Hemorrhage Lock,Crimson Strike,Strain Mir Mutant breaches containment. Blood-mutation sequence active. Quarantine failed.,DELTA-934_Mir_Mutant_idle.png,ID.8432|ID.5416|ID.9085,"[165, 185, 155]"
DELTA-935,DELTA,5,Vion Cell,Viral,Crystal,ROT CLUSTER,3178,301,44,54,273,Gem Terminus,Prism Lock,Geode Zenith,Gem Empower,Shard Charge,Shard Lock,Shard Charge,Prism Ward,Prism Barrage,Strain Vion Cell breaches containment. Crystal-mutation sequence active. Quarantine failed.,DELTA-935_Vion_Cell_idle.png,ID.8544|ID.7640|ID.1664,"[0, 58, 31]"
DELTA-936,DELTA,5,VoidZane,Viral,Poison,CORRUPTED SECTOR,3360,339,50,60,252,Toxin Cleanse,Miasma Drain,Toxin Overdrive,Toxin Slam,Plague Cleanse,Contagion Rush,Miasma Charge,Blight Drain,Venom Overdrive,Strain VoidZane breaches containment. Poison-mutation sequence active. Quarantine failed.,DELTA-936_VoidZane_idle.png,ID.1483|ID.6052|ID.6909,"[253, 3, 8]"
DELTA-937,DELTA,5,Thos Warden,Angelic,Wind,LUMINA SECT,3759,308,55,57,308,Squall Onslaught,Cyclone Lock,Gale Overdrive,Zephyr Shield,Squall Slam,Zephyr Zenith,Zephyr Silence,Breeze Ward,Zephyr Charge,Thos Warden descends from the HALO CORE. Wind radiance shields the faithful.,DELTA-937_Thos_Warden_idle.png,ID.6349|ID.3353|ID.6734,"[145, 54, 210]"
DELTA-938,DELTA,5,OmniPher,Mechanical,Gravity,IRON CORTEX,3236,325,44,56,315,Mass Lock,Crush Rush,Pull Restore,Weight Overdrive,Mass Restore,Singularity Apotheosis,Weight Slam,Singularity Strike,Crush Lock,Unit OmniPher deployed from GEAR SECT. Core temperature stable. Elemental sync: Gravity.,DELTA-938_OmniPher_idle.png,ID.8982|ID.9786|ID.4485,"[151, 98, 175]"
DELTA-939,DELTA,5,CelestialXel,Angelic,Time,CELESTIAL ORDER,4002,237,53,47,241,Loop Cleanse,Era Charge,Era Zenith,Chrono Bind,Paradox Overdrive,Shift Suppress,Chrono Barrage,Shift Empower,Era Slam,CelestialXel descends from the ASTRUM DIVISION. Time radiance shields the faithful.,DELTA-939_CelestialXel_idle.png,ID.3841|ID.9311|ID.9609,"[169, 242, 2]"
DELTA-940,DELTA,5,Toron,Mechanical,Ice,GEAR SECT,3115,326,53,44,234,Chill Suppress,Hail Barrage,Freeze Cleanse,Glacier Rush,Chill Stun,Frost Cataclysm,Glacier Strike,Crystal Terminus,Hail Ward,Unit Toron deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Ice.,DELTA-940_Toron_idle.png,ID.2430|ID.1362|ID.4134,"[145, 119, 111]"
DELTA-941,DELTA,5,Gorpher,Angelic,Nature,HALO CORE,3425,305,53,49,307,Root Apotheosis,Bloom Drain,Vine Silence,Spore Zenith,Thorn Boost,Spore Charge,Root Slam,Vine Barrage,Bloom Ward,Gorpher descends from the HALO CORE. Nature radiance shields the faithful.,DELTA-941_Gorpher_idle.png,ID.8436|ID.7973|ID.7520,"[248, 238, 124]"
DELTA-942,DELTA,5,Goron,Demonic,Poison,VOID CULT,3410,282,46,50,269,Plague Onslaught,Blight Silence,Contagion Stun,Contagion Restore,Miasma Charge,Contagion Charge,Miasma Overdrive,Venom Overdrive,Venom Empower,Goron claws forth from the PANDEMONIUM NET. Poison burns in its wake.,DELTA-942_Goron_idle.png,ID.2876|ID.9955|ID.1364,"[98, 60, 22]"
DELTA-943,DELTA,5,PhantomVius,Viral,Gravity,PHAGE CELL,3917,282,46,49,339,Anchor Cleanse,Crush Zenith,Weight Stun,Pull Terminus,Mass Onslaught,Crush Rush,Mass Cleanse,Crush Onslaught,Weight Suppress,Strain PhantomVius breaches containment. Gravity-mutation sequence active. Quarantine failed.,DELTA-943_PhantomVius_idle.png,ID.9973|ID.5534|ID.7385,"[184, 43, 22]"
DELTA-944,DELTA,5,Xentor,Mechanical,Metal,GEAR SECT,4020,355,48,58,300,Iron Apotheosis,Steel Catalyst,Steel Suppress,Titan Barrage,Steel Stun,Steel Shield,Iron Boost,Iron Strike,Alloy Rush,Unit Xentor deployed from IRON CORTEX. Core temperature stable. Elemental sync: Metal.,DELTA-944_Xentor_idle.png,ID.4526|ID.7482|ID.5275,"[85, 167, 230]"
DELTA-945,DELTA,5,Dune Sentinel,Angelic,Dark,HALO CORE,3772,335,44,53,288,Abyss Overdrive,Void Rush,Abyss Bind,Umbra Drain,Night Cleanse,Umbra Barrage,Umbra Restore,Abyss Cataclysm,Night Onslaught,Dune Sentinel descends from the CELESTIAL ORDER. Dark radiance shields the faithful.,DELTA-945_Dune_Sentinel_idle.png,ID.8647|ID.7234|ID.2138,"[185, 62, 57]"
DELTA-946,DELTA,5,Xenath,Viral,Time,ROT CLUSTER,2812,323,49,59,242,Era Stun,Paradox Overdrive,Shift Strike,Era Restore,Loop Shield,Paradox Rush,Shift Overdrive,Loop Lock,Loop Onslaught,Strain Xenath breaches containment. Time-mutation sequence active. Quarantine failed.,DELTA-946_Xenath_idle.png,ID.1459|ID.3192|ID.6205,"[160, 203, 156]"
DELTA-947,DELTA,5,NexusVius,Angelic,Ice,ASTRUM DIVISION,3153,343,42,50,339,Frost Restore,Crystal Suppress,Hail Slam,Chill Onslaught,Chill Rush,Hail Cataclysm,Glacier Overdrive,Freeze Lock,Chill Empower,NexusVius descends from the CELESTIAL ORDER. Ice radiance shields the faithful.,DELTA-947_NexusVius_idle.png,ID.7605|ID.3488|ID.6359,"[129, 25, 109]"
DELTA-948,DELTA,5,Sol Host,Viral,Metal,ROT CLUSTER,3022,308,53,53,236,Forge Bind,Alloy Zenith,Alloy Empower,Titan Rush,Steel Silence,Titan Charge,Plate Catalyst,Alloy Empower,Plate Onslaught,Strain Sol Host breaches containment. Metal-mutation sequence active. Quarantine failed.,DELTA-948_Sol_Host_idle.png,ID.2438|ID.8795|ID.1488,"[193, 80, 5]"
DELTA-949,DELTA,5,Axiar,Angelic,Wind,CELESTIAL ORDER,4068,333,41,46,345,Cyclone Rush,Squall Empower,Zephyr Cleanse,Draft Zenith,Cyclone Slam,Zephyr Suppress,Zephyr Lock,Gale Slam,Zephyr Catalyst,Axiar descends from the LUMINA SECT. Wind radiance shields the faithful.,DELTA-949_Axiar_idle.png,ID.5417|ID.1014|ID.1579,"[161, 71, 147]"
DELTA-950,DELTA,5,Vex Drone,Mechanical,Blood,PROTOCOL DIVISION,4061,272,50,58,261,Pulse Lock,Crimson Cleanse,Pulse Rush,Crimson Empower,Vein Rush,Sanguine Cataclysm,Sanguine Charge,Vital Drain,Vital Zenith,Unit Vex Drone deployed from PROTOCOL DIVISION. Core temperature stable. Elemental sync: Blood.,DELTA-950_Vex_Drone_idle.png,ID.3102|ID.1186|ID.7978,"[235, 232, 245]"
DELTA-951,DELTA,5,OmniSol,Viral,Sound,CORRUPTED SECTOR,3599,317,40,42,250,Wave Terminus,Tone Silence,Pulse Slam,Tone Rush,Resonance Shield,Pulse Charge,Frequency Cataclysm,Wave Suppress,Tone Boost,Strain OmniSol breaches containment. Sound-mutation sequence active. Quarantine failed.,DELTA-951_OmniSol_idle.png,ID.3029|ID.4829|ID.3395,"[88, 58, 233]"
DELTA-952,DELTA,5,Ravrios,Demonic,Sound,VOID CULT,3559,261,41,41,181,Resonance Apotheosis,Tone Zenith,Frequency Strike,Tone Shield,Echo Barrage,Wave Strike,Echo Cleanse,Echo Lock,Pulse Drain,Ravrios claws forth from the BRIMSTONE CELL. Sound burns in its wake.,DELTA-952_Ravrios_idle.png,ID.4156|ID.8322|ID.9024,"[85, 167, 120]"
DELTA-953,DELTA,5,Solir,Angelic,Fire,ASTRUM DIVISION,3398,280,54,47,235,Inferno Charge,Inferno Cleanse,Ember Drain,Combust Charge,Scorch Terminus,Inferno Stun,Ember Ward,Ignite Apotheosis,Ignite Barrage,Solir descends from the LUMINA SECT. Fire radiance shields the faithful.,DELTA-953_Solir_idle.png,ID.4473|ID.9955|ID.1582,"[120, 90, 223]"
DELTA-954,DELTA,5,Vius Reaver,Demonic,Ice,PANDEMONIUM NET,3645,260,46,54,305,Freeze Strike,Glacier Barrage,Glacier Strike,Frost Shield,Crystal Shield,Chill Apotheosis,Hail Stun,Freeze Suppress,Glacier Zenith,Vius Reaver claws forth from the ABYSSAL CABAL. Ice burns in its wake.,DELTA-954_Vius_Reaver_idle.png,ID.5769|ID.3298|ID.1906,"[21, 207, 167]"
DELTA-955,DELTA,5,PrismaticPher,Angelic,Ice,ASTRUM DIVISION,3515,377,53,60,271,Crystal Stun,Freeze Onslaught,Hail Cataclysm,Frost Overdrive,Chill Boost,Glacier Shield,Frost Barrage,Glacier Drain,Freeze Barrage,PrismaticPher descends from the ASTRUM DIVISION. Ice radiance shields the faithful.,DELTA-955_PrismaticPher_idle.png,ID.1372|ID.3138|ID.4826,"[248, 153, 167]"
DELTA-956,DELTA,5,VoidSion,Mechanical,Metal,IRON CORTEX,3114,247,48,40,348,Forge Barrage,Titan Shield,Steel Silence,Alloy Zenith,Alloy Onslaught,Iron Charge,Steel Empower,Iron Stun,Plate Terminus,Unit VoidSion deployed from GEAR SECT. Core temperature stable. Elemental sync: Metal.,DELTA-956_VoidSion_idle.png,ID.3083|ID.1890|ID.7029,"[52, 248, 144]"
DELTA-957,DELTA,5,Tor Guardian,Angelic,Fire,ASTRUM DIVISION,4185,318,41,56,297,Ember Restore,Blaze Apotheosis,Ember Catalyst,Inferno Bind,Scorch Shield,Ember Slam,Combust Drain,Scorch Slam,Combust Rush,Tor Guardian descends from the HALO CORE. Fire radiance shields the faithful.,DELTA-957_Tor_Guardian_idle.png,ID.6457|ID.4764|ID.7072,"[75, 132, 115]"
DELTA-958,DELTA,5,EtherealThar,Mechanical,Gravity,GEAR SECT,2811,316,51,41,278,Crush Cleanse,Weight Silence,Pull Shield,Singularity Barrage,Weight Onslaught,Singularity Terminus,Mass Overdrive,Anchor Lock,Weight Slam,Unit EtherealThar deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Gravity.,DELTA-958_EtherealThar_idle.png,ID.7404|ID.9765|ID.5936,"[77, 224, 227]"
DELTA-959,DELTA,5,Voror,Mechanical,Fire,SYNTHETIC NETWORK,3655,224,45,50,239,Blaze Stun,Scorch Lock,Ember Cataclysm,Blaze Rush,Blaze Cleanse,Inferno Slam,Combust Zenith,Ember Shield,Scorch Rush,Unit Voror deployed from PROTOCOL DIVISION. Core temperature stable. Elemental sync: Fire.,DELTA-959_Voror_idle.png,ID.6896|ID.5461|ID.6314,"[67, 225, 90]"
DELTA-960,DELTA,5,Luneth,Demonic,Wind,BRIMSTONE CELL,3415,321,51,42,217,Draft Terminus,Breeze Apotheosis,Draft Barrage,Breeze Suppress,Zephyr Shield,Breeze Rush,Cyclone Silence,Draft Charge,Breeze Boost,Luneth claws forth from the BRIMSTONE CELL. Wind burns in its wake.,DELTA-960_Luneth_idle.png,ID.4967|ID.1715|ID.4543,"[179, 49, 137]"
DELTA-961,DELTA,5,QuantumZane,Viral,Sound,ROT CLUSTER,3250,357,45,60,300,Tone Catalyst,Resonance Onslaught,Echo Boost,Wave Overdrive,Frequency Shield,Frequency Drain,Resonance Bind,Tone Onslaught,Resonance Strike,Strain QuantumZane breaches containment. Sound-mutation sequence active. Quarantine failed.,DELTA-961_QuantumZane_idle.png,ID.7665|ID.4973|ID.9455,"[246, 73, 176]"
DELTA-962,DELTA,5,Dravex,Demonic,Fire,BRIMSTONE CELL,3056,308,52,41,248,Combust Onslaught,Inferno Boost,Scorch Overdrive,Combust Lock,Ignite Drain,Inferno Zenith,Combust Shield,Inferno Strike,Ignite Rush,Dravex claws forth from the PANDEMONIUM NET. Fire burns in its wake.,DELTA-962_Dravex_idle.png,ID.6743|ID.2937|ID.9310,"[0, 193, 254]"
DELTA-963,DELTA,5,Mire Cell,Viral,Sound,INFECTION VECTOR,3105,339,48,51,334,Wave Silence,Frequency Catalyst,Tone Rush,Echo Overdrive,Wave Onslaught,Echo Boost,Echo Silence,Wave Restore,Pulse Rush,Strain Mire Cell breaches containment. Sound-mutation sequence active. Quarantine failed.,DELTA-963_Mire_Cell_idle.png,ID.3540|ID.1050|ID.1784,"[131, 52, 64]"
DELTA-964,DELTA,5,Nir Frame,Mechanical,Water,PROTOCOL DIVISION,3487,354,53,55,346,Tide Silence,Current Ward,Torrent Drain,Surge Cataclysm,Surge Apotheosis,Torrent Barrage,Depth Slam,Torrent Ward,Torrent Onslaught,Unit Nir Frame deployed from GEAR SECT. Core temperature stable. Elemental sync: Water.,DELTA-964_Nir_Frame_idle.png,ID.4637|ID.4228|ID.9667,"[145, 0, 178]"
DELTA-965,DELTA,5,PrismaticNir,Mechanical,Plasma,IRON CORTEX,3800,313,50,47,240,Star Overdrive,Nebula Slam,Ion Apotheosis,Flux Cleanse,Star Onslaught,Fusion Slam,Nebula Empower,Solar Drain,Flux Suppress,Unit PrismaticNir deployed from GEAR SECT. Core temperature stable. Elemental sync: Plasma.,DELTA-965_PrismaticNir_idle.png,ID.3000|ID.8861|ID.4664,"[49, 85, 52]"
DELTA-966,DELTA,5,Pyriel,Viral,Poison,INFECTION VECTOR,3710,271,55,46,293,Toxin Onslaught,Plague Onslaught,Plague Cleanse,Toxin Terminus,Contagion Drain,Blight Stun,Venom Barrage,Blight Cleanse,Miasma Terminus,Strain Pyriel breaches containment. Poison-mutation sequence active. Quarantine failed.,DELTA-966_Pyriel_idle.png,ID.2603|ID.5153|ID.5479,"[58, 217, 134]"
DELTA-967,DELTA,5,Goror,Angelic,Earth,HALO CORE,3276,241,45,57,232,Mountain Zenith,Terra Empower,Stone Barrage,Core Ward,Core Suppress,Terra Barrage,Fissure Drain,Quake Barrage,Fissure Cataclysm,Goror descends from the LUMINA SECT. Earth radiance shields the faithful.,DELTA-967_Goror_idle.png,ID.4102|ID.3907|ID.5711,"[78, 238, 128]"
DELTA-968,DELTA,5,Xalvex,Demonic,Crystal,BRIMSTONE CELL,3178,260,51,45,188,Shard Terminus,Facet Terminus,Geode Slam,Facet Slam,Lattice Cleanse,Prism Empower,Prism Suppress,Lattice Slam,Gem Lock,Xalvex claws forth from the ABYSSAL CABAL. Crystal burns in its wake.,DELTA-968_Xalvex_idle.png,ID.1878|ID.5846|ID.3078,"[250, 125, 65]"
DELTA-969,DELTA,5,EternalLor,Viral,Metal,ROT CLUSTER,4054,371,53,50,345,Plate Onslaught,Titan Suppress,Iron Catalyst,Iron Overdrive,Alloy Restore,Alloy Cleanse,Steel Drain,Forge Onslaught,Forge Onslaught,Strain EternalLor breaches containment. Metal-mutation sequence active. Quarantine failed.,DELTA-969_EternalLor_idle.png,ID.4427|ID.9510|ID.9117,"[11, 28, 172]"
DELTA-970,DELTA,5,StellarVius,Angelic,Crystal,LUMINA SECT,3443,293,55,48,327,Geode Barrage,Shard Strike,Gem Slam,Lattice Ward,Geode Drain,Lattice Cataclysm,Geode Empower,Gem Apotheosis,Prism Lock,StellarVius descends from the HALO CORE. Crystal radiance shields the faithful.,DELTA-970_StellarVius_idle.png,ID.6957|ID.1957|ID.7465,"[235, 228, 204]"
DELTA-971,DELTA,5,PrismaticThas,Viral,Plasma,ROT CLUSTER,4127,351,46,57,223,Ion Boost,Solar Ward,Star Barrage,Flux Terminus,Nebula Strike,Flux Suppress,Solar Catalyst,Solar Suppress,Fusion Rush,Strain PrismaticThas breaches containment. Plasma-mutation sequence active. Quarantine failed.,DELTA-971_PrismaticThas_idle.png,ID.9898|ID.2080|ID.8853,"[83, 55, 241]"
DELTA-972,DELTA,5,Pyrtor,Angelic,Gravity,LUMINA SECT,3545,340,55,54,227,Anchor Slam,Weight Rush,Anchor Apotheosis,Crush Lock,Mass Shield,Anchor Catalyst,Singularity Onslaught,Singularity Ward,Mass Silence,Pyrtor descends from the HALO CORE. Gravity radiance shields the faithful.,DELTA-972_Pyrtor_idle.png,ID.8408|ID.5465|ID.7384,"[79, 140, 166]"
DELTA-973,DELTA,5,Yordros,Demonic,Water,BRIMSTONE CELL,3806,344,49,40,196,Abyss Restore,Surge Slam,Torrent Suppress,Surge Cleanse,Current Apotheosis,Depth Drain,Abyss Rush,Depth Rush,Torrent Overdrive,Yordros claws forth from the ABYSSAL CABAL. Water burns in its wake.,DELTA-973_Yordros_idle.png,ID.3885|ID.2088|ID.5758,"[84, 137, 17]"
DELTA-974,DELTA,5,Qordra,Mechanical,Poison,SYNTHETIC NETWORK,2949,266,48,43,326,Blight Bind,Blight Charge,Blight Cleanse,Blight Catalyst,Venom Strike,Contagion Strike,Venom Cataclysm,Venom Bind,Venom Empower,Unit Qordra deployed from PROTOCOL DIVISION. Core temperature stable. Elemental sync: Poison.,DELTA-974_Qordra_idle.png,ID.5430|ID.7709|ID.1398,"[4, 234, 124]"
DELTA-975,DELTA,5,Ulrath,Viral,Void,ROT CLUSTER,3630,282,47,50,330,Collapse Strike,Entropy Boost,Zero Suppress,Collapse Rush,Entropy Zenith,Entropy Strike,Abyss Silence,Null Terminus,Collapse Shield,Strain Ulrath breaches containment. Void-mutation sequence active. Quarantine failed.,DELTA-975_Ulrath_idle.png,ID.4358|ID.9802|ID.3255,"[248, 210, 108]"
DELTA-976,DELTA,5,Mir Cell,Viral,Lightning,CORRUPTED SECTOR,3649,325,52,46,202,Thunder Boost,Surge Cleanse,Arc Cataclysm,Spark Bind,Spark Strike,Thunder Zenith,Volt Onslaught,Static Barrage,Arc Silence,Strain Mir Cell breaches containment. Lightning-mutation sequence active. Quarantine failed.,DELTA-976_Mir_Cell_idle.png,ID.8629|ID.8660|ID.3937,"[208, 184, 9]"
DELTA-977,DELTA,5,Kros Strain,Viral,Fire,PHAGE CELL,3330,324,40,49,307,Ignite Bind,Combust Charge,Inferno Slam,Blaze Shield,Inferno Cataclysm,Ignite Drain,Ember Cleanse,Ember Apotheosis,Blaze Rush,Strain Kros Strain breaches containment. Fire-mutation sequence active. Quarantine failed.,DELTA-977_Kros_Strain_idle.png,ID.9721|ID.5962|ID.4816,"[191, 161, 197]"
